;Unnamed: 0;Отметка времени;Ваш пол;Ваш возраст;Укажите вашу профессию, по которой вы работает сейчас (если вы фрилансер - укажите основное поле деятельности);Unnamed: 4;Вам нравится ваша профессия? Не по зарплате, не по удобствам и т. д., а именно сама деятельность.;Сколько лет вы работаете по профессии?;Я могу объяснить свои действия [■];Другие не видят меня таким, каким себя вижу я [■];Я принимаю критику со стороны других людей [■];Я могу точно описать, что я чувствую [■];Вещи, которые случаются в моей жизни, имеют для меня какой-либо смысл [■];Я остаюсь спокойным даже в сложных ситуациях [■];Я склонен к вспышкам гнева [■];Я чувствую себя несчастным [■];Меня раздражают различные вещи, другие люди или я сам [■];Я могу увлечься и сделать что-то о чем буду потом жалеть [■];Я уверен в своих целях на будущее [■];Моя карьера движется в правильном направлении [■];Мне трудно оставаться энтузиастом, когда я встречаюсь с трудностями [■];Я чувствую себя воодушевленным, когда думаю о своих целях [■];Я последовательно двигаясь к достижению своих целей [■];Мои коллеги необщительны [■];Я хорошо лажу со своими коллегами [■];Я легко могу понять, что чувствуют другие люди [■];Я не могу предсказать, как мои коллеги поведут себя в различных ситуациях [■];Людям больше нравится работать со мной, чем с другими  [■];Я встречаю людей с тяжелым характером [■];Я часто добиваюсь взаимовыгодных результатов [■];Я чувствую себя не комфортно, когда другие люди не могут сдержать эмоции [■];У меня быстро заканчивается терпение с некомпетентными людьми [■];Я душа компании [■];Я немного беспокоюсь за других [■];Я всегда готов к неожиданным ситуациям [■];Я не стрессоустойчивый [■];У меня богатый словарный запас [■];Я не многословен [■];Я заинтересован в людях [■];Я часто разбрасываю свои вещи повсюду [■];Я почти всегда спокоен [■];У меня есть сложности с пониманием абстракций [■];Я чувствую себя комфортно в компаниях людей [■];Я часто оскорбляю людей [■];Я уделяю внимание деталям [■];Я беспокоюсь о разных вещах [■];У меня богатое воображение [■];В компании я держусь на заднем плане [■];Я понимаю эмоции других людей [■];Я не очень люблю убирать за собой мусор [■];Я редко чувствую грусть [■];Меня не особо интресовала математика [■];Обычно я первый начинаю разговор [■];Меня мало интересуют проблемы друзей [■];Я предпочитаю выполнять всю работу по дому сразу [■];Меня легко отвлечь [■];В моей голове много отличных идей [■];Мне мало есть, что сказать [■];Я добрый [■];Я часто забываю положить вещи обратно [■];Я легко расстраиваюсь [■];Мне сложно представить несуществующий объект [■];Я разговариваю со многими людьми на встречах [■];Меня не заботит, чем живут окружающие [■];Я люблю порядок [■];Переходы от грусти к радости у меня могут происходить несколько раз за день [■];Я быстро осваиваю что-то новое [■];Я не люблю быть в центре внимания [■];Я уделяю время на других [■];Я уклоняюсь от своих обязанностей [■];У меня бывают частые перепады настроения [■];Я использую сложные выражения в речи [■];Мне нравится, когда меня слушают люди [■];Я чувствую эмоции других людей [■];Я следую расписанию [■];Я раздражительный [■];Я трачу время на обдумывание произошедшего [■];Я веду себя тихо среди незнакомцев [■];Мне легко повлиять на чувства людей [■];Я люблю то, чем я занимаюсь [■];На меня часто находит хандра [■];Мне не хватает времени, чтобы воплотить все мои задумки [■];Я легко знакомлюсь с людьми;Мне нравится что-нибудь мастерить;Я люблю посещать музеи, театры и выставки;Мне нравиться присматривать за  животными;Мне обычно нравиться что-то вычислять, чертить чертежи или составлять графики;Я легко нахожу язык со сверстниками или детьми;Я с удовольствием ухаживаю за растениями;Я пишу почти без ошибок;Мои поделки обычно интересны другим людям;Мне говорили, что у меня есть художественные способности;Я люблю читать об окружающей природе;Я бы хотел принять участие в спектакле или концерте;Я люблю читать про устройство разных приборов и механизмов;Мне нравятся разгадывать  различные головоломки и ребусы;Я легко улаживаю разногласия между людьми;Мне говорили, у меня есть способности к работе с техникой;Людям нравится мое творчество;У меня есть способности к работе с растениями и животными;Я могу ясно излагать свои мысли в письменной форме;Я почти никогда ни с кем не ссорюсь;Люди одобряли мои технические решения;Мне легко даются иностранные языки;Я часто помогаю незнакомым людям;Я провожу много времени за музыкой, рисованием или чтением книг;Мне бы понравилось обучать животных или собирать мной выращенный урожай;В детстве мне нравилось разбирать различную технику;Мне обычно удается убедить людей в своей правоте;Я люблю наблюдать за поведением зверей;Я люблю читать научно-популярную, критическую литературу, публицистику;Стараюсь понять секреты мастерства и пробую свои силы в живописи,музыке и т. п.;Если вам не нравится Ваша профессия, то кем бы Вы хотели работать? ;encoded;Кем вы еще работали от года и больше?;encoded_1
159;159;26.10.2018 12:21:49;трап;24;Тестировщик;3;Да;1 год;Почти всегда;Обычно;Обычно;Обычно;Обычно;Иногда;Редко;Иногда;Иногда;Иногда;Иногда;Обычно;Обычно;Иногда;Иногда;Почти никогда;Почти всегда;Иногда;Иногда;Почти никогда;Редко;Обычно;Иногда;Иногда;Не согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Не согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Трудно решить;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Я не знаю кем бы я хотел работать;9;Инженер по ремонту мобильных телефонов;2
160;160;26.10.2018 12:22:33;Мужской;23;Information Security;3;Да;3-5 года;Почти всегда;Иногда;Почти всегда;Иногда;Обычно;Обычно;Почти никогда;Редко;Редко;Почти никогда;Обычно;Обычно;Редко;Почти всегда;Почти всегда;Иногда;Обычно;Иногда;Иногда;Иногда;Редко;Иногда;Редко;Обычно;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Не согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Не согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Согласен;Скорее несогласен;Скорее несогласен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
161;161;26.10.2018 12:25:01;Мужской;23;Системый администратор;2;Да;3-5 года;Почти всегда;Иногда;Обычно;Обычно;Обычно;Иногда;Иногда;Иногда;Иногда;Иногда;Редко;Иногда;Иногда;Обычно;Обычно;Почти никогда;Почти всегда;Обычно;Обычно;Иногда;Иногда;Обычно;Редко;Редко;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Не согласен;Скорее согласен;Трудно решить;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
162;162;26.10.2018 12:26:23;Мужской;24;Бухгалтерия;3;Нет;3-5 года;Почти всегда;Иногда;Обычно;Иногда;Иногда;Иногда;Почти никогда;Почти всегда;Иногда;Иногда;Иногда;Редко;Редко;Обычно;Иногда;Редко;Обычно;Иногда;Обычно;Иногда;Иногда;Редко;Обычно;Иногда;Не согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Трудно решить;Трудно решить;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Трудно решить;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Трудно решить;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Да;Да;Нет;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
163;163;26.10.2018 12:30:09;Мужской;35;менеджер;5;Да;1 год;Почти всегда;Иногда;Обычно;Почти всегда;Почти всегда;Иногда;Обычно;Иногда;Обычно;Иногда;Обычно;Обычно;Иногда;Обычно;Обычно;Редко;Обычно;Обычно;Редко;Обычно;Иногда;Обычно;Обычно;Обычно;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Да;Да;Мне нравится моя профессия;7;системный администратор;2
164;164;26.10.2018 12:45:49;Мужской;30;ЧПУ-оператор;2;Да;1 год;Почти всегда;Иногда;Обычно;Обычно;Обычно;Иногда;Иногда;Иногда;Иногда;Редко;Почти всегда;Почти всегда;Иногда;Обычно;Обычно;Редко;Почти всегда;Обычно;Иногда;Обычно;Почти никогда;Почти всегда;Иногда;Редко;Трудно решить;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Согласен;Согласен;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Скорее несогласен;Не согласен;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее несогласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Согласен;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Согласен;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Я хотел бы вообще не работать;8;механиком, слесарем, продавцом;2
165;165;26.10.2018 12:52:30;Мужской;22;Токарь;2;Нет;1 год;Редко;Обычно;Редко;Почти никогда;Иногда;Обычно;Иногда;Обычно;Обычно;Редко;Редко;Почти никогда;Редко;Иногда;Обычно;Обычно;Обычно;Иногда;Обычно;Редко;Почти всегда;Редко;Редко;Почти всегда;Не согласен;Скорее несогласен;Трудно решить;Согласен;Не согласен;Скорее согласен;Не согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Не согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Нет;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Программистом, над своими проектами;3;У меня не было других работ;0
166;166;26.10.2018 12:58:10;Мужской;29;Аналитик;3;Нет;Больше 5 лет;Почти всегда;Обычно;Иногда;Почти всегда;Иногда;Обычно;Редко;Иногда;Обычно;Иногда;Иногда;Редко;Иногда;Иногда;Обычно;Иногда;Обычно;Иногда;Иногда;Обычно;Иногда;Иногда;Иногда;Обычно;Не согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Программист;3;У меня не было других работ;0
167;167;26.10.2018 13:10:34;Мужской;31;информационная безопасность;3;Да;Больше 5 лет;Почти всегда;Обычно;Обычно;Обычно;Обычно;Обычно;Редко;Почти никогда;Иногда;Редко;Иногда;Обычно;Редко;Иногда;Почти всегда;Редко;Иногда;Обычно;Обычно;Иногда;Редко;Обычно;Редко;Обычно;Не согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Не согласен;Трудно решить;Не согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Согласен;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Трудно решить;Скорее согласен;Согласен;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;гровером, шеф-поваром, музыкантом;4;официантом;5
168;168;26.10.2018 13:37:19;Мужской;27;Логист;3;Нет;3-5 года;Иногда;Иногда;Редко;Иногда;Редко;Иногда;Почти никогда;Иногда;Редко;Редко;Редко;Почти никогда;Редко;Иногда;Иногда;Редко;Иногда;Редко;Обычно;Редко;Иногда;Иногда;Обычно;Иногда;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Трудно решить;Согласен;Не согласен;Трудно решить;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Не согласен;Не согласен;Не согласен;Согласен;Скорее согласен;Согласен;Согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Скорее несогласен;Не согласен;Согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Скорее несогласен;Трудно решить;Согласен;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Нет;Я хотел бы вообще не работать;8;У меня не было других работ;0
169;169;26.10.2018 13:53:30;Мужской;25;Инженер-конструктор;3;Нет;2-3 года;Почти всегда;Почти никогда;Обычно;Обычно;Почти всегда;Редко;Иногда;Иногда;Обычно;Обычно;Почти всегда;Обычно;Редко;Почти всегда;Обычно;Редко;Почти никогда;Почти всегда;Редко;Обычно;Обычно;Почти всегда;Иногда;Обычно;Трудно решить;Согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Согласен;Скорее несогласен;Трудно решить;Не согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Трудно решить;Согласен;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
170;170;26.10.2018 15:20:37;Мужской;30;Сетевой инженер;2;Да;Больше 5 лет;Обычно;Иногда;Почти всегда;Почти всегда;Почти всегда;Почти всегда;Почти никогда;Почти никогда;Иногда;Редко;Обычно;Иногда;Редко;Почти всегда;Обычно;Почти никогда;Почти всегда;Почти всегда;Почти никогда;Почти никогда;Иногда;Обычно;Иногда;Иногда;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Согласен;Не согласен;Трудно решить;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Согласен;Скорее несогласен;Скорее несогласен;Не согласен;Трудно решить;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Не согласен;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Не согласен;Скорее согласен;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Мне нравится моя профессия;7;Слесарь-ремонтник, старший мастер цеха.;2
171;171;26.10.2018 15:42:02;Мужской;29;Инженер;2;Да;Больше 5 лет;Почти всегда;Обычно;Почти всегда;Почти всегда;Обычно;Обычно;Редко;Иногда;Иногда;Иногда;Редко;Почти никогда;Иногда;Иногда;Редко;Почти никогда;Обычно;Почти всегда;Почти никогда;Обычно;Редко;Почти всегда;Редко;Иногда;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Согласен;Скорее несогласен;Согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Не согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Не согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Не согласен;Согласен;Скорее согласен;Согласен;Не согласен;Не согласен;Согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Нет;IT, я инженер дорожник, пора это кончать, укатываться в айти инженерию;3;Инженер испытатель;3
172;172;26.10.2018 15:49:14;Мужской;21;Специалист офисной технической поддержки;2;Нет;1 год;Обычно;Иногда;Иногда;Редко;Обычно;Иногда;Почти всегда;Обычно;Почти всегда;Почти всегда;Почти никогда;Редко;Обычно;Иногда;Редко;Редко;Обычно;Иногда;Обычно;Иногда;Иногда;Иногда;Обычно;Иногда;Трудно решить;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Не согласен;Согласен;Скорее несогласен;Трудно решить;Не согласен;Согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Трудно решить;Согласен;Скорее несогласен;Не согласен;Согласен;Согласен;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
173;173;26.10.2018 16:03:30;Мужской;30;Рантье;6;Да;Больше 5 лет;Почти всегда;Обычно;Иногда;Почти всегда;Почти никогда;Иногда;Редко;Редко;Почти никогда;Почти никогда;Почти никогда;Почти всегда;Иногда;Почти никогда;Почти никогда;Почти всегда;Почти всегда;Обычно;Почти никогда;Иногда;Иногда;Обычно;Почти всегда;Редко;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Не согласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Не согласен;Не согласен;Согласен;Трудно решить;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Нет;Да;Нет;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Нет;Нет;Я хотел бы вообще не работать;8;У меня не было других работ;0
174;174;26.10.2018 16:06:30;Мужской;24;Маркетолог;3;Да;2-3 года;Почти всегда;Обычно;Иногда;Почти всегда;Почти всегда;Обычно;Почти никогда;Иногда;Обычно;Иногда;Почти всегда;Обычно;Редко;Почти всегда;Обычно;Редко;Обычно;Обычно;Редко;Обычно;Иногда;Иногда;Иногда;Обычно;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Не согласен;Трудно решить;Не согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Трудно решить;Согласен;Трудно решить;Согласен;Да;Нет;Да;Да;Да;Нет;Нет;Да;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Нет;Да;Да;Мне нравится моя профессия;7;торговым представителем;5
175;175;26.10.2018 16:10:31;Мужской;30;android developer;3;Да;1 год;Обычно;Обычно;Обычно;Обычно;Иногда;Обычно;Редко;Иногда;Иногда;Иногда;Почти всегда;Обычно;Редко;Обычно;Почти всегда;Иногда;Редко;Обычно;Редко;Обычно;Обычно;Обычно;Обычно;Редко;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Трудно решить;Согласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Мне нравится моя профессия;7;менеджер по тендерам(около продажи 4 года);5
